Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Strain],Reporter,Experimental Condition [Genotype],Characteristics [Age],Characteristics [Organism Part],Term Source 2 REF,Term Source 2 Accession,Protocol REF,Assay Name,Experimental Condition [Demyelinated Corpus Callosum],Source Name [Mouse Number],Image File,Comment [Image File Path],Comment [Image File Comments],Comment [Image File Type],Comment [Image File Type Comments],Channels,Processed Data File
bf3092,Image5D_bf3092_SPOT1,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3092,Image5D_bf3092_SPOT1,Bottes_and_Jessberger_2021/bf3092,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3092,Image5D_bf3092_SPOT2,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3092,Image5D_bf3092_SPOT2,Bottes_and_Jessberger_2021/bf3092,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3092,Image5D_bf3092_SPOT5,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3092,Image5D_bf3092_SPOT5,Bottes_and_Jessberger_2021/bf3092,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3092,Image5D_bf3092_SPOT6,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3092,Image5D_bf3092_SPOT6,Bottes_and_Jessberger_2021/bf3092,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3092,Image5D_bf3092_SPOT9,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3092,Image5D_bf3092_SPOT9,Bottes_and_Jessberger_2021/bf3092,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3092,Image5D_bf3092_SPOT10,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3092,Image5D_bf3092_SPOT10,Bottes_and_Jessberger_2021/bf3092,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3092,Image5D_bf3092_SPOT14,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3092,Image5D_bf3092_SPOT14,Bottes_and_Jessberger_2021/bf3092,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3092,Image5D_bf3092_SPOT15,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3092,Image5D_bf3092_SPOT15,Bottes_and_Jessberger_2021/bf3092,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3092,Image5D_bf3092_SPOT16,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3092,Image5D_bf3092_SPOT16,Bottes_and_Jessberger_2021/bf3092,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
bf3092,Image5D_bf3092_SPOT18,Mus musculus,NCBITaxon,NCBITaxon_10090,Ascl1CreERT2 (Ascl1Cre ERT2; Ascl1 tm1.1(Cre/ERT2)Jejo; JacksonLab strain 012882) bred with the CAG tdTomato (Ai14;B6.Cg-Gt(ROSA) 26Sortm14(CAG-tdTomato)Hze; JacksonLab strain 007914),tdTomato reporter,Ascl1CreERT2 +/-; tdTomato +/+,Imaging started at the age of 10 weeks,Corpus callosum,UBERON,UBERON_0002336,"Demyelination procedure and chronic transcortical
window implantation",In vivo 2 photon imaging of remyelination in mouse corpus callosum,tdTomato labeled OPCs and their progeny in the demyelinated corpus callosum of Ascl1CreERT2-tdTomato mice,bf3092,Image5D_bf3092_SPOT18,Bottes_and_Jessberger_2021/bf3092,In each SPOT (field of view) there are one or more clones registered and tracked. The code of the cells of each clone can be found in ROIs folder ,raw,The raw images of this SPOT (field of view) taken at consecutive time points are compiled in this single 5D image. ,tdTomato labels oligodendrocyte precursor cells (OPCs) and their progeny,idr0113-experimentA-processed
