ImageName	TimePoint	DayAfterInduction
Image5D_bf4961_SPOT11.tif	1	d8
Image5D_bf4961_SPOT11.tif	2	d9
Image5D_bf4961_SPOT11.tif	3	d11
Image5D_bf4961_SPOT11.tif	4	d13
Image5D_bf4961_SPOT11.tif	5	d14
Image5D_bf4961_SPOT11.tif	6	d16
Image5D_bf4961_SPOT11.tif	7	d18
Image5D_bf4961_SPOT11.tif	8	d20
Image5D_bf4961_SPOT11.tif	9	d22
Image5D_bf4961_SPOT11.tif	10	d25
Image5D_bf4961_SPOT13.tif	1	d9
Image5D_bf4961_SPOT13.tif	2	d11
Image5D_bf4961_SPOT13.tif	3	d13
Image5D_bf4961_SPOT13.tif	4	d14
Image5D_bf4961_SPOT13.tif	5	d16
Image5D_bf4961_SPOT13.tif	6	d18
Image5D_bf4961_SPOT13.tif	7	d20
Image5D_bf4961_SPOT13.tif	8	d22
Image5D_bf4961_SPOT13.tif	9	d25
Image5D_bf4961_SPOT13.tif	10	d27
Image5D_bf4961_SPOT13.tif	11	d29
Image5D_bf4961_SPOT13.tif	12	d34
Image5D_bf4961_SPOT14.tif	1	d9
Image5D_bf4961_SPOT14.tif	2	d11
Image5D_bf4961_SPOT14.tif	3	d13
Image5D_bf4961_SPOT16.tif	1	d13
Image5D_bf4961_SPOT16.tif	2	d14
Image5D_bf4961_SPOT16.tif	3	d16
Image5D_bf4961_SPOT16.tif	4	d18
Image5D_bf4961_SPOT16.tif	5	d20
Image5D_bf4961_SPOT16.tif	6	d22
Image5D_bf4961_SPOT16.tif	7	d25
Image5D_bf4961_SPOT16.tif	8	d27
Image5D_bf4961_SPOT16.tif	9	d29
Image5D_bf4961_SPOT16.tif	10	d34
Image5D_bf4961_SPOT16.tif	11	d49
Image5D_bf4961_SPOT3.tif	1	d5
Image5D_bf4961_SPOT3.tif	2	d6
Image5D_bf4961_SPOT3.tif	3	d7
Image5D_bf4961_SPOT3.tif	4	d8
Image5D_bf4961_SPOT4.tif	1	d5
Image5D_bf4961_SPOT4.tif	2	d6
Image5D_bf4961_SPOT4.tif	3	d7
Image5D_bf4961_SPOT4.tif	4	d8
Image5D_bf4961_SPOT4.tif	5	d9
Image5D_bf4961_SPOT4.tif	6	d11
Image5D_bf4961_SPOT4.tif	7	d13
Image5D_bf4961_SPOT4.tif	8	d14
Image5D_bf4961_SPOT4.tif	9	d16
Image5D_bf4961_SPOT4.tif	10	d18
Image5D_bf4961_SPOT4.tif	11	d20
Image5D_bf4961_SPOT4.tif	12	d22
Image5D_bf4961_SPOT4.tif	13	d25
Image5D_bf4961_SPOT4.tif	14	d27
Image5D_bf4961_SPOT4.tif	15	d29
Image5D_bf4961_SPOT4.tif	16	d34
Image5D_bf4961_SPOT4.tif	17	d49
Image5D_bf4961_SPOT6.tif	1	d6
Image5D_bf4961_SPOT6.tif	2	d7
Image5D_bf4961_SPOT6.tif	3	d8
Image5D_bf4961_SPOT6.tif	4	d9
Image5D_bf4961_SPOT6.tif	5	d11
Image5D_bf4961_SPOT6.tif	6	d13
Image5D_bf4961_SPOT6.tif	7	d16
Image5D_bf4961_SPOT6.tif	8	d18
Image5D_bf4961_SPOT6.tif	9	d22
Image5D_bf4961_SPOT6.tif	10	d25
Image5D_bf4961_SPOT6.tif	11	d29
Image5D_bf4961_SPOT6.tif	12	d34
Image5D_bf4961_SPOT7.tif	1	d7
Image5D_bf4961_SPOT7.tif	2	d8
Image5D_bf4961_SPOT7.tif	3	d9
Image5D_bf4961_SPOT7.tif	4	d11
Image5D_bf4961_SPOT7.tif	5	d13
Image5D_bf4961_SPOT7.tif	6	d16
Image5D_bf4961_SPOT7.tif	7	d18
Image5D_bf4961_SPOT7.tif	8	d20
Image5D_bf4961_SPOT7.tif	9	d22
Image5D_bf4961_SPOT7.tif	10	d25
Image5D_bf4961_SPOT7.tif	11	d29
Image5D_bf4961_SPOT7.tif	12	d34
Image5D_bf3558_SPOT10.tif	1	d3
Image5D_bf3558_SPOT10.tif	2	d4
Image5D_bf3558_SPOT10.tif	3	d5
Image5D_bf3558_SPOT101.tif	1	d2
Image5D_bf3558_SPOT101.tif	2	d3
Image5D_bf3558_SPOT101.tif	3	d4
Image5D_bf3558_SPOT101.tif	4	d5
Image5D_bf3558_SPOT101.tif	5	d6
Image5D_bf3558_SPOT101.tif	6	d7
Image5D_bf3558_SPOT101.tif	7	d8
